Assault,Asterix,BattleZone,BeamRider,Boxing,Breakout,CrazyClimber,DemonAttack,DoubleDunk,Enduro,FishingDerby,MsPacman,NameThisGame,Phoenix,Pong,Qbert,SpaceInvaders,Tutankham,VideoPinball
21962.43,175454.0,123210.0,42340.04,99.48,487.46,112122.0,134244.8,19.74,2336.96,40.45,6574.64,25167.5,160791.9,18.62,25807.75,23948.8,144.78,465765.19
18930.07,310740.0,95760.0,44192.24,99.27,523.62,113250.0,134237.45,19.72,2315.31,37.41,6672.7,25324.6,88995.0,18.16,24639.0,16109.35,166.51,463894.23
20879.97,164794.0,124930.0,53422.96,99.52,631.16,107498.0,133013.9,19.66,2339.87,38.58,7313.34,25194.7,136073.7,18.62,24925.5,34111.4,175.82,551286.29
22870.8,256218.0,118570.0,47037.12,99.32,592.72,111126.0,133443.15,20.56,2326.41,42.9,7394.32,25722.1,163993.0,18.44,26477.25,33333.55,177.5,517583.78
22011.8,203361.0,117650.0,43644.24,99.21,608.98,99266.0,134198.1,20.6,2333.17,39.35,7735.16,25776.1,228990.9,18.31,25073.75,34359.0,170.81,495892.06
21860.68,409192.0,110950.0,42081.28,99.37,510.06,112646.0,133627.1,20.32,2341.04,41.42,7087.54,26230.0,118430.0,18.14,25574.75,17672.3,166.19,566025.38
16360.66,197424.0,105060.0,36635.52,99.51,520.5,106352.0,134502.55,20.34,2328.7,43.93,7867.44,25417.7,117214.6,18.38,24939.25,30581.95,169.2,461932.8
19739.8,261038.0,108020.0,37744.64,99.52,592.98,110602.0,122413.65,20.52,2334.06,40.59,7437.96,25253.4,195408.8,18.32,26114.75,33825.85,182.64,425955.15
20982.1,363158.0,104530.0,40659.64,98.56,496.12,110842.0,133924.25,19.56,2335.37,43.66,7516.36,25356.3,111924.3,17.98,25815.25,24878.6,174.97,475766.87
20274.81,258396.0,104850.0,36824.2,99.58,586.48,116732.0,133863.6,20.52,2338.81,46.63,7200.7,25744.9,132799.4,17.97,24998.5,24200.95,177.64,549783.77
17363.08,203886.0,123430.0,41452.2,99.48,546.62,106034.0,134352.25,20.28,2343.88,44.65,6300.72,26017.3,195314.5,18.44,25418.0,32173.1,179.07,518506.9
20461.93,128564.0,100010.0,35484.72,99.23,508.44,115208.0,134595.4,20.8,2335.41,43.32,6069.08,26513.8,134064.8,18.04,25747.0,18541.45,178.28,583890.32
23530.66,170968.0,113560.0,58497.0,99.37,575.4,114788.0,134537.4,19.84,2320.26,43.22,6930.9,25277.4,178778.7,18.2,25210.0,21545.9,178.61,561247.38
23130.25,187572.0,114930.0,25939.88,99.42,589.58,112226.0,133875.4,19.68,2340.03,42.46,8850.52,24913.6,147403.3,18.15,25811.5,26468.7,183.38,513296.12
25156.1,185476.0,121790.0,47297.48,99.33,497.96,110190.0,133138.45,20.62,2316.42,42.95,7634.52,26051.1,140874.3,18.37,24823.75,24355.15,177.89,454906.53
24035.41,193244.0,108340.0,51068.24,99.49,530.9,108678.0,134271.35,20.46,2332.59,44.27,7144.14,26016.7,81422.3,18.45,25385.0,33675.25,184.02,464603.44
22846.45,124456.0,107410.0,31182.88,99.58,501.5,109744.0,134493.7,20.2,2328.42,43.15,7410.92,27163.7,137207.9,17.99,26043.5,38975.55,185.35,463881.21
18807.26,311018.0,117130.0,49139.56,99.41,607.04,109960.0,133483.6,20.24,2340.22,44.82,7572.58,26090.0,182074.1,18.29,24623.5,29007.05,186.26,494396.28
22286.04,298672.0,134240.0,46459.88,99.47,591.92,115016.0,134965.3,19.62,2341.58,46.77,6980.94,27296.3,141861.9,18.48,25817.75,27061.65,179.52,468121.64
25942.68,320884.0,124120.0,52887.84,99.47,618.18,117060.0,134386.35,20.56,2334.35,45.18,8138.24,26179.6,210731.6,18.6,24207.0,26636.6,185.34,499399.81
20974.56,332046.0,144130.0,55332.52,99.61,535.54,116172.0,134427.5,19.9,2335.65,46.28,7610.52,26171.6,146616.1,18.31,26475.75,23567.0,175.97,519990.44
21956.47,373182.0,115430.0,53181.84,99.48,576.56,111444.0,134522.05,20.52,2343.62,44.53,7249.76,26761.0,108983.8,18.68,26726.25,26253.3,169.59,480741.68
22668.17,342080.0,128130.0,42469.2,99.23,455.38,111294.0,133713.95,20.06,2349.67,44.93,8137.4,26489.8,128482.1,18.73,25846.5,30980.5,178.44,509579.28
21015.23,406790.0,108740.0,46582.48,99.44,464.62,115082.0,134788.05,20.78,2333.97,43.77,6596.28,26780.8,91826.5,18.41,25358.5,31857.5,190.01,408144.68
18399.15,310414.0,119340.0,31509.16,99.33,482.68,114720.0,134753.8,20.24,2342.19,45.03,7642.2,26024.0,160737.3,18.67,27261.25,37221.35,178.84,458391.95
23293.48,161066.0,102700.0,38149.44,99.44,522.6,112342.0,135177.7,20.4,2336.81,44.42,6399.2,26202.3,180201.7,18.11,24317.75,16809.15,184.31,545935.55
